run_id,source,profile_family,profile_variant,duration_s,sample_time_s,initial_hold_s,cooldown_s,seed,ambient_ref_start,t1_start,t2_start,t1_end,t2_end,q1_mean,q1_max,q2_mean,q2_max,n_segments_q1,n_segments_q2,coordination_mode,contains_short_segment,profile_signature,run_ok,comment
run_0220,model,q1_dominant,q1_dominant_v01,600,1.0,23,60,42,20.949499999999997,20.949499999999997,20.949499999999997,27.717799999999997,23.850199999999997,29.075,80.0,11.833333333333334,40.0,4,4,q1_dominant,True,"{""coordination_mode"": ""q1_dominant"", ""family"": ""q1_dominant"", ""q1_max_bin"": 16, ""q1_mean_bin"": 6, ""q1_nseg"": 6, ""q2_max_bin"": 8, ""q2_mean_bin"": 2, ""q2_nseg"": 6, ""short"": 1}",True,
run_0221,model,q2_dominant,q2_dominant_v01,600,1.0,30,60,42,20.949499999999997,20.949499999999997,20.949499999999997,31.9077,27.073199999999996,18.483333333333334,40.0,35.31666666666667,90.0,5,5,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 8, ""q1_mean_bin"": 4, ""q1_nseg"": 7, ""q2_max_bin"": 18, ""q2_mean_bin"": 7, ""q2_nseg"": 7, ""short"": 1}",True,
run_0222,model,staggered_steps,staggered_steps_v01,600,1.0,27,60,42,20.949499999999997,20.949499999999997,20.949499999999997,25.461699999999997,29.329299999999996,26.541666666666668,85.0,39.375,95.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 17, ""q1_mean_bin"": 5, ""q1_nseg"": 5, ""q2_max_bin"": 19, ""q2_mean_bin"": 8, ""q2_nseg"": 6, ""short"": 1}",True,
run_0223,model,staggered_steps,staggered_steps_v01,600,1.0,27,60,42,20.788349999999998,20.949499999999997,20.949499999999997,23.850199999999997,25.1394,17.558333333333334,65.0,24.025,65.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 13, ""q1_mean_bin"": 4, ""q1_nseg"": 6, ""q2_max_bin"": 13, ""q2_mean_bin"": 5, ""q2_nseg"": 6, ""short"": 1}",True,
run_0224,model,staggered_steps,staggered_steps_v01,600,1.0,30,60,42,20.788349999999998,20.949499999999997,20.949499999999997,22.561,23.205599999999997,11.975,60.0,23.5,85.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 12, ""q1_mean_bin"": 2, ""q1_nseg"": 6, ""q2_max_bin"": 17, ""q2_mean_bin"": 5, ""q2_nseg"": 6, ""short"": 1}",True,
run_0225,model,staggered_steps,staggered_steps_v01,600,1.0,22,60,42,20.949499999999997,20.949499999999997,20.949499999999997,25.1394,26.106299999999997,22.15,90.0,36.75833333333333,90.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 18, ""q1_mean_bin"": 4, ""q1_nseg"": 6, ""q2_max_bin"": 18, ""q2_mean_bin"": 7, ""q2_nseg"": 6, ""short"": 1}",True,
run_0226,model,q2_dominant,q2_dominant_v01,600,1.0,29,60,42,20.949499999999997,20.949499999999997,20.949499999999997,34.4861,33.1969,17.541666666666668,40.0,57.733333333333334,100.0,5,5,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 8, ""q1_mean_bin"": 4, ""q1_nseg"": 7, ""q2_max_bin"": 20, ""q2_mean_bin"": 12, ""q2_nseg"": 7, ""short"": 1}",True,
run_0227,model,q2_dominant,q2_dominant_v01,600,1.0,28,60,42,20.949499999999997,20.949499999999997,20.949499999999997,21.594099999999997,22.238699999999998,4.541666666666667,20.0,21.533333333333335,85.0,4,4,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 4, ""q1_mean_bin"": 1, ""q1_nseg"": 5, ""q2_max_bin"": 17, ""q2_mean_bin"": 4, ""q2_nseg"": 6, ""short"": 1}",True,
run_0228,model,q2_dominant,q2_dominant_v01,600,1.0,28,60,42,20.949499999999997,20.949499999999997,20.949499999999997,24.494799999999998,23.850199999999997,10.633445945945946,40.0,26.798986486486488,95.0,4,4,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 8, ""q1_mean_bin"": 2, ""q1_nseg"": 6, ""q2_max_bin"": 19, ""q2_mean_bin"": 5, ""q2_nseg"": 6, ""short"": 1}",True,
run_0229,model,q2_dominant,q2_dominant_v01,600,1.0,24,60,42,20.949499999999997,20.949499999999997,20.949499999999997,26.106299999999997,25.461699999999997,17.858333333333334,45.0,40.78333333333333,100.0,4,4,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 9, ""q1_mean_bin"": 4, ""q1_nseg"": 6, ""q2_max_bin"": 20, ""q2_mean_bin"": 8, ""q2_nseg"": 6, ""short"": 1}",True,
